Campaign,Campaign Type,Budget,Bid Strategy Type,Status,EU political ads,Ad Group,Max CPC,Keyword,Criterion Type,Location,Ad Schedule,Ad type,Final URL,Headline 1,Headline 2,Headline 3,Headline 4,Headline 5,Headline 6,Headline 7,Headline 8,Headline 9,Headline 10,Headline 11,Headline 12,Headline 13,Headline 14,Headline 15,Description 1,Description 2,Description 3,Description 4
Machinery & Medical Equipment,,,,,,,,,,Kansas City MO,,,,,,,,,,,,,,,,,,,,,,
Machinery & Medical Equipment,,,,,,,,,,St. Louis MO,,,,,,,,,,,,,,,,,,,,,,
Machinery & Medical Equipment,,,,,,,,,,Denver CO,,,,,,,,,,,,,,,,,,,,,,
Machinery & Medical Equipment,,,,,,,,,,Minneapolis MN,,,,,,,,,,,,,,,,,,,,,,
Machinery & Medical Equipment,,,,,,,,,,Louisville KY,,,,,,,,,,,,,,,,,,,,,,
Machinery & Medical Equipment,,,,,,,,,,San Antonio TX,,,,,,,,,,,,,,,,,,,,,,
Machinery & Medical Equipment,,,,,,,,,,Memphis TN,,,,,,,,,,,,,,,,,,,,,,
Machinery & Medical Equipment,,,,,,,,,,,Monday 6:00 AM 8:00 PM,,,,,,,,,,,,,,,,,,,,,
Machinery & Medical Equipment,,,,,,,,,,,Tuesday 6:00 AM 8:00 PM,,,,,,,,,,,,,,,,,,,,,
Machinery & Medical Equipment,,,,,,,,,,,Wednesday 6:00 AM 8:00 PM,,,,,,,,,,,,,,,,,,,,,
Machinery & Medical Equipment,,,,,,,,,,,Thursday 6:00 AM 8:00 PM,,,,,,,,,,,,,,,,,,,,,
Machinery & Medical Equipment,,,,,,,,,,,Friday 6:00 AM 8:00 PM,,,,,,,,,,,,,,,,,,,,,
Fleet Dispatch,,,,,,,,,,Houston TX,,,,,,,,,,,,,,,,,,,,,,
Fleet Dispatch,,,,,,,,,,Chicago IL,,,,,,,,,,,,,,,,,,,,,,
Fleet Dispatch,,,,,,,,,,Detroit MI,,,,,,,,,,,,,,,,,,,,,,
Fleet Dispatch,,,,,,,,,,Dallas TX,,,,,,,,,,,,,,,,,,,,,,
Fleet Dispatch,,,,,,,,,,Atlanta GA,,,,,,,,,,,,,,,,,,,,,,
Fleet Dispatch,,,,,,,,,,Cleveland OH,,,,,,,,,,,,,,,,,,,,,,
Fleet Dispatch,,,,,,,,,,Charlotte NC,,,,,,,,,,,,,,,,,,,,,,
Fleet Dispatch,,,,,,,,,,Indianapolis IN,,,,,,,,,,,,,,,,,,,,,,
Fleet Dispatch,,,,,,,,,,Columbus OH,,,,,,,,,,,,,,,,,,,,,,
Fleet Dispatch,,,,,,,,,,Milwaukee WI,,,,,,,,,,,,,,,,,,,,,,
Fleet Dispatch,,,,,,,,,,Nashville TN,,,,,,,,,,,,,,,,,,,,,,
Fleet Dispatch,,,,,,,,,,Pittsburgh PA,,,,,,,,,,,,,,,,,,,,,,
Fleet Dispatch,,,,,,,,,,Phoenix AZ,,,,,,,,,,,,,,,,,,,,,,
Fleet Dispatch,,,,,,,,,,Kansas City MO,,,,,,,,,,,,,,,,,,,,,,
Fleet Dispatch,,,,,,,,,,St. Louis MO,,,,,,,,,,,,,,,,,,,,,,
Fleet Dispatch,,,,,,,,,,Denver CO,,,,,,,,,,,,,,,,,,,,,,
Fleet Dispatch,,,,,,,,,,Minneapolis MN,,,,,,,,,,,,,,,,,,,,,,
Fleet Dispatch,,,,,,,,,,Louisville KY,,,,,,,,,,,,,,,,,,,,,,
Fleet Dispatch,,,,,,,,,,San Antonio TX,,,,,,,,,,,,,,,,,,,,,,
Fleet Dispatch,,,,,,,,,,Memphis TN,,,,,,,,,,,,,,,,,,,,,,
Fleet Dispatch,,,,,,,,,,,Monday 6:00 AM 8:00 PM,,,,,,,,,,,,,,,,,,,,,
Fleet Dispatch,,,,,,,,,,,Tuesday 6:00 AM 8:00 PM,,,,,,,,,,,,,,,,,,,,,
Fleet Dispatch,,,,,,,,,,,Wednesday 6:00 AM 8:00 PM,,,,,,,,,,,,,,,,,,,,,
Fleet Dispatch,,,,,,,,,,,Thursday 6:00 AM 8:00 PM,,,,,,,,,,,,,,,,,,,,,
Fleet Dispatch,,,,,,,,,,,Friday 6:00 AM 8:00 PM,,,,,,,,,,,,,,,,,,,,,
